Label,Total,White,Black,American Indian,Asian,Native Hawaiian,Other,White; Black,White; American Indian,White; Asian,White; Native Hawaiian,White; Other,Black; American Indian,Black; Asian,Black; Native Hawaiian,Black; Other,American Indian; Asian,American Indian; Native Hawaiian,American Indian; Other,Asian; Native Hawaiian,Asian; Other,Native Hawaiian; Other,White; Black; American Indian,White; Black; Asian,White; Black; Native Hawaiian,White; Black; Other,White; American Indian; Asian,White; American Indian; Native Hawaiian,White; American Indian; Other,White; Asian; Native Hawaiian,White; Asian; Other,White; Native Hawaiian; Other,Black; American Indian; Asian,Black; American Indian; Native Hawaiian,Black; American Indian; Other,Black; Asian; Native Hawaiian,Black; Asian; Other,Black; Native Hawaiian; Other,American Indian; Asian; Native Hawaiian,American Indian; Asian; Other,American Indian; Native Hawaiian; Other,Asian; Native Hawaiian; Other
New Jersey,9288994,5112280,1219770,51186,950090,3533,1048641,70790,40811,65045,1740,559309,12399,7604,1168,65449,1842,143,14030,2097,7251,2995,10254,2929,217,13263,1016,100,7374,967,3645,265,374,51,1323,139,734,113,30,158,56,142
New Mexico,2117522,1078937,45904,212241,37469,2093,318632,10509,30305,11482,1097,337315,2488,645,130,3049,643,214,5425,668,1063,305,1949,443,55,1807,737,131,7896,555,1226,171,58,21,171,35,54,13,31,60,35,50
New York,20201249,11143349,2986172,149690,1933127,10815,2210633,175686,113950,148927,3890,840481,31562,21450,3274,226733,5958,564,33617,6314,28694,8129,24378,6334,504,31594,2154,258,15296,2222,6526,459,1059,171,3838,426,2558,476,145,548,156,514
North Carolina,10439388,6488459,2140217,130032,343051,8518,617390,114798,124955,57170,3574,294386,23110,6862,1462,24413,983,249,7175,1842,2749,817,16307,3410,458,6524,2035,261,6802,1742,1731,204,454,138,936,298,244,92,64,34,15,87
North Dakota,779094,645938,26783,38914,13213,924,11382,5120,14414,4048,415,13753,600,251,39,394,98,50,225,183,70,66,645,155,34,212,173,36,347,166,76,11,9,7,29,21,7,1,11,11,0,17
Ohio,11799448,9080688,1478781,30720,298509,5034,224344,157685,157622,59329,3367,217778,12938,4679,811,17084,637,99,2590,1312,1861,596,17738,3162,488,5720,1974,243,4779,1669,1190,162,310,88,548,178,126,31,36,33,15,30
Oklahoma,3959353,2514885,289961,332791,90949,8608,214001,46341,251170,21338,2100,124450,19104,1726,420,3753,974,357,3132,824,665,237,15616,1200,227,1956,2926,426,4845,921,541,75,202,58,295,61,41,13,77,21,7,25
Oregon,4237256,3169096,82655,62993,194538,19204,265431,32537,96929,59341,7738,198328,2285,1647,519,2794,805,332,3987,3737,1543,446,5185,1771,382,2242,2840,643,6714,4854,1724,271,141,63,159,101,66,20,75,37,3,75
Pennsylvania,13002700,9750687,1423169,31052,510501,4276,508531,136716,107274,69760,3360,337578,14495,6188,1025,36170,858,164,5426,1692,3256,2050,15669,3153,450,9963,1483,225,5306,1541,1891,235,328,92,1289,195,348,124,22,55,45,76
Rhode Island,1097379,782920,62168,7385,38961,536,103615,9960,8317,7009,333,44471,2169,397,86,18100,98,32,1103,181,448,588,1773,286,47,3143,142,39,712,149,243,64,37,12,514,44,109,45,5,25,26,12
