Label,Total,White,Black,American Indian,Asian,Native Hawaiian,Other,White; Black,White; American Indian,White; Asian,White; Native Hawaiian,White; Other,Black; American Indian,Black; Asian,Black; Native Hawaiian,Black; Other,American Indian; Asian,American Indian; Native Hawaiian,American Indian; Other,Asian; Native Hawaiian,Asian; Other,Native Hawaiian; Other,White; Black; American Indian,White; Black; Asian,White; Black; Native Hawaiian,White; Black; Other,White; American Indian; Asian,White; American Indian; Native Hawaiian,White; American Indian; Other,White; Asian; Native Hawaiian,White; Asian; Other,White; Native Hawaiian; Other,Black; American Indian; Asian,Black; American Indian; Native Hawaiian,Black; American Indian; Other,Black; Asian; Native Hawaiian,Black; Asian; Other,Black; Native Hawaiian; Other,American Indian; Asian; Native Hawaiian,American Indian; Asian; Other,American Indian; Native Hawaiian; Other,Asian; Native Hawaiian; Other
Alabama,4779736,3275394,1251311,28218,53595,3057,96910,19666,21953,8835,864,6524,3353,1632,431,1591,273,82,398,349,738,350,1850,348,64,281,322,38,158,294,126,38,84,22,45,83,43,22,10,15,12,13
Alaska,710231,473576,23263,104871,38135,7409,11102,4685,26127,6915,1095,2211,1777,530,213,409,1200,431,429,782,368,114,1415,252,85,68,1103,177,233,529,67,13,50,17,47,30,5,3,60,14,3,10
Arizona,6392017,4667121,259008,296529,176695,12648,761716,35442,34584,35647,4173,61934,5891,2986,602,5921,1435,580,5979,2187,4534,1167,4194,1408,229,1189,1098,203,1173,2048,1054,213,184,34,212,143,168,42,79,116,58,103
Arkansas,2915918,2245229,449895,22248,36102,5863,99571,13519,21060,5968,657,7659,1610,668,179,970,194,90,449,332,666,232,1143,162,37,185,256,46,199,196,97,32,40,8,31,36,24,6,8,10,3,8
California,37253956,21453934,2299072,362801,4861007,144386,6317372,180920,208833,446563,39258,494321,31146,41249,7548,49487,15072,2321,29519,39339,72836,15089,31949,13623,2158,8281,13195,2109,8873,20149,13637,2443,2129,427,1532,1545,1653,481,739,1105,361,1733
Colorado,5029196,4089202,201737,56010,139028,6623,364140,28904,34995,32789,2859,38859,3780,2693,445,4053,840,171,3809,1496,2540,740,4061,1421,164,864,1042,177,1317,1465,712,136,176,35,154,136,70,25,64,65,28,63
Connecticut,3574097,2772410,362296,11256,135565,1428,198466,24786,9419,14451,809,17778,4161,1666,814,6075,426,66,1012,408,2610,1020,3428,498,81,845,284,21,261,235,305,101,106,22,150,40,85,92,15,27,51,26
Delaware,897934,618617,191814,4181,28549,400,30519,8736,2402,3183,202,2629,1750,693,171,1208,123,17,211,110,531,121,944,221,39,121,40,14,33,53,38,13,36,6,31,19,22,5,3,3,9,3
District of Columbia,601723,231471,305125,2079,21056,302,24374,3476,904,3736,121,2068,1787,900,226,1047,57,10,145,143,333,320,1150,198,22,81,47,2,59,61,54,13,59,9,28,17,30,8,1,2,1,5
Florida,18801310,14109162,2999862,71458,454821,12286,681144,112370,55974,70932,5036,106667,12273,16040,9613,26547,2063,395,4209,2927,11758,3812,9817,5085,482,3225,1600,226,1108,1728,1761,754,470,164,390,478,929,615,78,181,79,161
Georgia,9687653,5787440,2950435,32151,314467,6799,388872,59398,27198,29613,1962,31576,11145,7918,1979,10248,1211,157,1802,1157,5114,1091,7015,1913,235,1106,674,78,464,779,489,142,329,90,266,250,232,130,28,55,40,54
Hawaii,1360301,336599,21424,4164,525078,135422,16985,3883,7932,66456,37904,3394,834,2694,1809,386,1343,1233,215,72607,4500,1799,1328,931,733,114,3566,1742,197,85723,1353,711,225,110,22,1218,65,32,1623,106,52,1708
Idaho,1567582,1396487,9810,21441,19069,2317,79523,4369,12488,8222,1343,7666,313,171,30,240,230,68,476,364,391,202,572,119,22,117,292,66,239,493,136,44,10,2,10,11,10,1,15,16,4,19
Illinois,12830632,9177877,1866414,43963,586934,4050,861412,70615,32749,56258,2682,66820,8057,4935,898,10103,2009,109,3435,1994,10524,1580,7550,1604,128,1655,849,86,816,912,905,223,254,38,227,176,167,74,44,39,34,60
Indiana,6483802,5467906,591397,18462,102474,2348,173314,48734,22076,17502,1514,18449,3034,1603,375,3268,380,62,648,596,1722,384,3578,708,129,686,342,88,283,440,224,59,108,17,54,50,49,26,15,18,0,15
Iowa,3046355,2781561,89148,11084,53094,2003,56132,19063,9475,8663,860,7715,1048,519,77,873,243,50,417,218,670,164,1545,283,38,284,165,30,151,211,127,23,23,5,27,19,41,7,5,19,0,10
Kansas,2853118,2391044,167864,28150,67762,2238,110127,24166,23163,11546,950,11954,2759,1011,226,1654,342,95,639,402,955,248,2744,563,88,490,366,58,300,339,168,31,66,9,66,31,40,17,19,4,4,15
Kentucky,4339367,3809537,337520,10120,48930,2501,55551,30985,16172,9228,979,7248,1568,970,307,1451,205,66,283,340,766,214,1945,468,102,381,296,44,162,270,120,28,59,25,29,36,24,8,10,7,9,9
Louisiana,4533372,2836192,1452396,30579,70132,1963,69227,19951,14868,8986,885,9819,4459,1817,459,3292,335,233,568,360,891,252,2444,413,53,486,338,44,248,241,190,45,84,14,184,82,60,32,15,12,4,21
Maine,1328361,1264971,15707,8568,13571,342,4261,4571,8729,3932,294,1203,179,101,42,305,72,10,70,74,131,21,537,113,24,72,120,22,56,79,31,16,10,0,8,2,2,3,2,2,0,0
Maryland,5773552,3359284,1700298,20420,318853,3157,206832,46677,15044,32516,1394,20284,10181,6487,1433,6426,954,58,1730,1324,4486,833,7343,1812,163,789,620,72,375,605,524,79,355,49,188,131,216,87,27,47,19,34
Massachusetts,6547629,5265236,434398,18850,349768,2223,305151,38964,16108,32594,1850,34355,4942,2495,1076,16381,762,92,2385,774,4221,2120,5027,931,146,1904,488,80,467,491,584,311,114,44,355,52,188,529,14,67,84,36
Michigan,9883640,7803120,1400362,62007,238199,2604,147029,72344,52202,38198,2853,22133,10006,3213,628,5092,1009,139,915,920,3340,383,9698,1240,153,1046,866,149,563,769,429,76,222,38,185,98,103,45,28,25,11,38
Minnesota,5303925,4524062,274412,60916,214234,2156,103000,36912,27255,24348,1264,11584,3990,1934,389,1840,728,86,1584,836,2154,361,5719,845,90,526,541,68,218,532,268,55,89,20,79,54,37,20,11,24,9,33
Mississippi,2967297,1754684,1098385,15030,25742,1187,38162,11088,6714,4205,393,3715,2209,1037,378,976,170,27,260,162,373,143,932,182,51,146,149,37,80,127,72,27,51,11,34,65,22,16,7,2,7,2
Missouri,5988927,4958770,693391,27376,98083,6261,80457,39037,33738,18604,2209,10728,4594,1662,501,2201,392,85,474,717,1255,259,3855,703,116,527,625,106,313,553,220,71,97,25,93,50,33,16,13,14,2,35
Montana,989415,884961,4027,62555,6253,668,5975,2578,14228,3233,505,1864,415,81,10,75,168,77,211,131,70,26,523,62,16,34,191,46,91,164,35,14,3,3,1,7,1,3,4,2,3,1
Nebraska,1826341,1572838,82885,18427,32293,1279,79109,11225,7587,6108,532,6937,1317,442,106,1033,157,37,536,245,413,185,1151,253,32,213,122,24,176,193,92,24,31,7,39,26,15,3,7,5,10,6
Nevada,2700551,1786688,218626,32062,195436,16871,324793,19611,14235,27142,3774,27399,2476,3569,878,3370,700,210,1351,4869,3370,921,2303,1177,262,673,716,147,443,3509,674,161,160,31,94,226,116,68,88,48,8,130
New Hampshire,1316470,1236050,15035,3150,28407,384,12062,5021,6104,4949,284,2250,227,152,48,302,78,38,67,107,324,95,587,109,8,142,115,10,51,128,52,9,12,3,7,4,7,6,0,5,0,0
New Jersey,8791894,6029248,1204826,29026,725726,3043,559722,49511,14965,40703,1645,60186,9312,5814,1830,15777,2963,130,4049,1874,12535,2467,7051,1619,127,1890,466,66,520,442,912,314,313,55,244,95,352,234,46,163,133,111
New Mexico,2059179,1407876,42550,193222,28208,1810,308503,7413,16705,7647,812,28241,1970,544,103,2082,530,177,3870,404,1334,530,1203,259,25,351,323,55,892,395,311,98,28,12,85,23,50,12,26,53,14,21
New York,19378102,12740974,3073800,106906,1420244,8766,1441563,123455,41342,83642,4073,125731,25036,20896,5516,51132,7854,586,12869,3370,28996,8407,17200,3883,355,4813,1079,149,1334,1031,1904,882,817,165,1166,386,1632,809,91,756,540,258
North Carolina,9535483,6528950,2048628,122110,208962,6604,414030,61973,33642,27778,2173,27790,13558,4929,1262,7789,996,193,2195,1143,3275,1148,8128,1534,204,1107,760,100,468,852,439,116,283,68,216,174,181,70,15,56,22,34
North Dakota,672591,605449,7960,36591,6909,320,3509,2127,5455,1738,184,823,314,99,28,134,98,44,81,52,64,10,250,58,14,31,50,20,21,58,14,1,1,5,5,0,2,3,3,3,2,0
Ohio,11536504,9539437,1407681,25292,192233,4066,130030,99741,40911,33031,2165,19087,9021,3666,882,5405,627,112,706,869,2946,598,10464,1555,234,1185,756,94,416,673,389,80,236,41,158,88,116,53,41,9,11,19
Oklahoma,3751351,2706845,277644,321687,65076,4369,154409,25056,134957,12302,1232,14495,12834,1313,294,1866,888,313,2127,482,922,323,6557,558,116,445,1240,159,1024,437,197,44,140,44,161,47,29,11,29,15,3,22
Oregon,3831074,3204614,69206,53203,141263,13404,204625,19302,44530,32589,4665,20237,1718,1059,280,1060,765,330,1530,2655,1563,591,3442,819,149,453,1495,344,694,2437,471,110,99,30,54,59,33,10,79,46,18,61
Pennsylvania,12702379,10406288,1377689,26843,349088,3653,300983,87287,27502,36127,2279,27627,10598,4508,1491,10655,1351,134,1796,1019,5230,1760,9668,1635,258,1663,549,116,406,599,574,169,303,98,260,108,224,134,19,73,78,46
Rhode Island,1052567,856869,60189,6058,30457,554,63653,8201,3223,4432,400,6375,2029,323,115,4103,155,26,758,110,601,604,1328,155,36,530,68,13,132,65,86,71,22,13,238,18,51,125,6,39,15,3
South Carolina,4625364,3060000,1290684,19524,59051,2706,113464,27432,13910,10461,935,9236,4156,2227,481,2836,301,71,473,445,1137,281,2517,573,88,387,331,63,159,340,134,49,118,20,67,105,44,25,14,4,4,18
South Dakota,814180,699392,10207,71817,7610,394,7477,3064,8499,1894,194,1262,602,107,25,89,173,73,219,68,94,29,467,53,14,30,78,18,76,65,20,4,8,1,4,7,3,0,3,0,1,1
Tennessee,6346105,4921948,1057315,19994,91242,3642,141955,36370,25649,15145,1476,12638,3492,1971,528,2381,384,73,657,533,1482,394,3000,686,100,445,465,88,285,419,237,62,92,23,76,84,59,11,13,12,2,18
Texas,25145561,17701552,2979598,170972,964596,21656,2628186,109713,92305,91963,6898,240679,13834,11132,2368,28414,3690,468,13156,4945,18536,4421,11065,3371,445,3544,2129,328,2852,2703,3004,705,409,120,462,426,488,178,89,343,179,244
Utah,2763885,2379560,29287,32927,55285,24554,166754,9598,12638,15902,6885,17835,608,466,323,975,290,292,1194,1402,1082,631,779,324,178,324,335,161,379,1843,320,127,27,8,15,18,22,7,38,18,14,51
Vermont,625741,596292,6277,2207,7947,160,2105,2353,4535,2112,148,549,116,53,21,63,24,7,37,33,82,10,324,55,7,25,55,8,19,47,11,0,2,0,3,1,0,0,0,1,0,1
Virginia,8001024,5486852,1551399,29225,439890,5980,254278,62204,25771,59051,2618,27658,9746,7056,1151,7226,1115,99,2559,1943,5240,839,8466,2406,234,1084,1161,99,535,1276,797,141,370,49,196,209,197,77,47,39,28,50
Washington,6724540,5196362,240042,103869,481067,40475,349799,51624,66769,83994,9817,34488,5458,6290,1407,3251,2773,734,2261,7209,5000,1277,8131,3637,612,1086,3740,679,1134,5555,1163,228,483,97,155,310,148,41,219,77,27,142
West Virginia,1852994,1739988,63124,3787,12406,428,6119,11602,7728,3086,432,1350,592,181,52,236,66,17,36,85,163,24,793,129,25,78,75,16,62,98,39,6,12,0,1,4,3,2,3,7,0,3
Wisconsin,5686986,4902067,359148,54526,129234,1827,135867,32590,22491,16578,1157,14396,3025,1032,249,2135,565,45,721,679,1500,349,3492,512,67,609,329,56,346,385,201,60,60,7,75,17,29,8,4,16,3,15
